time,pkg_pwr,ram_pwr
720,40.12,5.05
721,40.17,4.98
722,40.19,5.03
723,40.18,5.42
724,40.16,5.26
725,40.13,5.05
726,40.29,5.14
727,40.44,5.01
728,40.39,5.43
729,40.12,5.20
730,40.11,5.04
731,40.12,5.04
732,40.14,4.97
733,40.24,5.50
734,40.22,5.16
735,40.25,4.98
736,40.18,5.00
737,40.27,5.01
738,40.23,5.43
739,40.19,5.17
740,40.24,5.01
741,40.29,5.03
742,40.11,4.92
743,39.85,5.31
744,39.79,5.04
745,39.82,4.95
746,39.88,4.98
747,40.30,5.24
748,40.41,5.46
749,40.40,5.18
750,40.26,5.01
751,40.30,5.06
752,40.37,5.02
753,40.42,5.44
754,40.45,5.19
755,40.43,5.07
756,40.42,5.06
757,40.40,4.99
758,40.37,5.53
759,40.37,5.07
760,40.38,5.06
761,40.35,5.10
762,40.37,4.98
763,40.45,5.50
764,40.44,5.14
765,40.35,5.03
766,40.32,5.01
767,40.35,5.01
768,40.33,5.36
769,40.26,5.15
770,40.31,5.24
771,40.33,5.07
772,40.39,5.20
773,40.38,5.42
774,40.39,5.18
775,40.28,4.99
776,40.21,5.03
777,40.23,5.11
778,40.28,5.43
779,40.27,5.36
780,40.32,5.13
781,40.41,5.18
782,40.36,5.06
783,40.38,5.41
784,40.33,5.12
785,40.32,5.04
786,40.43,5.12
787,40.44,5.03
788,40.47,5.54
789,40.45,5.14
790,40.43,5.02
791,40.34,5.06
792,40.29,4.95
793,40.24,5.33
794,40.38,5.18
795,39.99,5.08
796,39.89,4.99
797,40.01,5.07
798,40.13,5.46
799,40.02,5.13
800,39.93,5.03
801,40.04,5.24
802,39.97,5.08
803,39.94,5.32
804,40.01,5.36
805,40.09,5.13
806,40.04,5.06
807,39.89,4.91
808,39.88,5.32
809,40.01,5.32
810,40.07,4.99
811,39.96,5.03
812,39.89,4.95
813,40.09,5.48
814,40.03,5.24
815,40.12,5.06
816,39.95,4.99
817,39.97,4.95
818,40.14,5.52
819,40.08,5.22
820,39.92,5.06
821,39.80,5.03
822,39.80,4.99
823,40.08,5.45
824,40.08,5.11
825,39.89,5.05
826,39.83,4.97
827,40.05,5.09
828,40.09,5.51
829,40.02,5.22
830,39.78,4.96
831,39.80,5.03
832,40.00,5.07
833,40.02,5.44
834,39.80,5.06
835,39.79,4.97
836,39.80,4.94
837,39.81,4.95
838,39.82,5.40
839,40.00,5.24
840,39.95,5.12
841,39.85,4.99
842,39.82,4.91
843,31.81,5.36
844,22.20,5.11
845,22.29,5.08
846,22.44,5.26
847,30.25,5.29
848,39.70,5.28
849,39.64,5.05
850,39.57,5.02
851,39.60,5.02
852,39.41,4.90
853,39.46,5.23
854,39.50,5.04
855,39.52,4.89
856,39.13,4.95
857,38.70,4.95
858,38.81,5.24
859,39.28,5.07
860,39.27,4.96
861,40.10,4.96
862,40.24,5.00
863,40.33,5.23
864,40.43,5.05
865,40.38,4.93
866,40.23,4.97
867,40.24,4.94
868,40.40,5.21
869,40.34,5.08
870,39.18,4.98
871,38.89,4.93
872,39.26,4.97
873,39.38,5.21
874,39.30,5.00
875,39.29,4.92
876,39.25,5.00
877,39.30,4.95
878,39.77,5.19
879,39.97,5.03
880,40.20,4.95
881,40.18,4.96
882,40.08,4.95
883,40.17,5.22
884,40.12,5.05
885,40.04,4.95
886,40.09,4.94
887,40.13,4.95
888,40.17,5.20
889,40.11,5.02
890,40.10,4.97
891,40.10,4.93
892,40.10,5.02
893,40.13,5.25
894,40.10,5.07
895,40.12,4.96
896,40.09,4.94
897,40.12,5.01
898,40.12,5.19
899,40.17,5.13
900,40.00,5.01
901,40.01,4.98
902,40.08,4.97
903,39.64,5.25
904,39.57,5.14
905,40.24,5.00
906,40.25,4.99
907,40.03,5.04
908,39.47,5.28
909,39.43,5.09
910,39.50,4.97
911,39.47,4.97
912,39.44,5.00
913,39.43,5.18
914,39.45,5.03
915,39.49,4.96
916,39.64,4.94
917,39.49,4.98
918,39.33,5.18
919,39.65,5.08
920,39.71,4.93
921,39.64,4.98
922,39.55,4.97
923,39.55,5.16
924,39.80,5.11
925,40.14,4.99
926,40.15,4.89
927,40.21,5.02
928,40.20,5.22
929,40.17,5.05
930,40.13,4.99
931,40.09,4.98
932,40.14,5.03
933,40.20,5.20
934,40.12,5.11
935,39.96,4.92
936,39.94,5.00
937,39.83,5.04
938,40.07,5.23
939,40.53,5.02
940,40.54,4.95
941,40.12,4.97
942,40.32,5.02
943,40.58,5.15
944,40.43,5.08
945,39.37,4.96
946,39.74,4.98
947,40.45,5.03
948,40.33,5.13
949,39.15,5.03
950,39.13,4.97
951,39.59,4.95
952,39.99,4.99
953,39.81,5.16
954,39.16,5.10
955,39.18,4.96
956,39.60,4.94
957,39.87,5.03
958,39.73,5.17
959,39.35,5.08
960,39.81,5.03
961,40.14,5.00
962,39.86,5.02
963,39.38,5.14
964,40.22,5.07
965,40.62,4.94
966,40.01,4.94
967,39.36,5.05
968,40.24,5.19
969,40.64,5.02
970,40.25,5.02
971,39.88,5.26
972,39.77,5.18
973,40.58,5.15
974,40.63,5.08
975,39.83,5.04
976,39.45,5.15
977,40.62,5.07
978,40.64,5.16
979,39.70,5.07
980,39.41,4.98
981,39.56,4.97
982,40.61,5.03
983,40.62,5.14
984,40.21,5.04
985,40.14,5.03
986,40.01,4.97
987,40.13,5.09
988,40.22,5.15
989,40.23,5.07
990,40.12,4.96
991,40.13,4.95
992,40.19,5.04
993,40.33,5.15
994,40.56,5.10
995,40.56,4.97
996,40.23,4.91
997,40.25,5.09
998,40.51,5.10
999,40.59,5.04
1000,40.41,4.94
1001,40.24,4.97
1002,40.57,5.11
1003,40.62,5.11
1004,40.79,5.11
1005,40.85,5.01
1006,40.61,4.94
1007,40.63,5.12
1008,40.67,5.12
1009,40.78,5.08
1010,40.74,4.94
1011,40.58,4.99
1012,40.59,5.09
